#OTUID	CN19Sc21_4_eDNA_JJ	CN19Sc22_8_eDNA_JJ	CN19Sc29_12_eDNA_RR	CN19Sc29_11_eDNA_RR	CN19Sc29_10_eDNA_RR	CN19Sc29_9_eDNA_RR	CN19Sc29_8_eDNA_RR	CN19Sc29_7_eDNA_RR	CN19Sc29_6_eDNA_RR	CN19Sc29_5_eDNA_RR	CN19Sc29_4_eDNA_RR	CN19Sc29_3_eDNA_RR	CN19Sc38_12_eDNA_RR	CN19Sc38_11_eDNA_RR	CN19Sc38_10_eDNA_RR	CN19Sc38_9_eDNA_RR	CN19Sc38_8_eDNA_RR	CN19Sc38_7_eDNA_RR	CN19Sc38_6_eDNA_RR	CN19Sc38_5_eDNA_RR	CN19Sc38_4_eDNA_RR	CN19Sc38_3_eDNA_RR	CN19Sc28_12_eDNA_RR	CN19Sc28_11_eDNA_RR	CN19Sc28_10_eDNA_RR	CN19Sc28_9_eDNA_RR	CN19Sc28_8_eDNA_RR	CN19Sc28_7_eDNA_RR	CN19Sc28_6_eDNA_RR	CN19Sc28_5_eDNA_RR	CN19Sc28_4_eDNA_RR	CN19Sc28_3_eDNA_RR	CN19Sc28_2_eDNA_RR	CN19Sc28_1_eDNA_RR	CN19Sc30_12_eDNA_RR	CN19Sc30_11_eDNA_RR	CN19Sc30_9_eDNA_RR	CN19Sc30_10_eDNA_RR	CN19Sc30_8_eDNA_RR	CN19Sc30_7_eDNA_RR	CN19Sc30_6_eDNA_RR	CN19Sc30_5_eDNA_RR	CN19Sc30_4_eDNA_RR	CN19Sc30_3_eDNA_RR	CN19Sc30_2_eDNA_RR	CN19Sc30_1_eDNA_RR	CN19Sc37_12_eDNA_RR	CN19Sc37_11_eDNA_RR	CN19Sc37_10_eDNA_RR	CN19Sc37_9_eDNA_RR	CN19Sc37_8_eDNA_RR	CN19Sc37_7_eDNA_RR	CN19Sc37_6_eDNA_RR	CN19Sc37_5_eDNA_RR	CN19Sc37_4_eDNA_RR	CN19Sc37_3_eDNA_RR	CN19Sc37_2_eDNA_RR	CN19Sc37_1_eDNA_RR	CN19Sc10_12_eDNA_JJ	CN19Sc10_10_eDNA_JJ	CN19Sc10_9_eDNA_JJ	CN19Sc10_7_eDNA_JJ	CN19Sc10_5_eDNA_JJ	CN19Sc10_4_eDNA_JJ	CN19Sc10_3_eDNA_JJ	CN19Sc15_12_eDNA_JJ	CN19Sc15_10_eDNA_JJ	CN19Sc15_9_eDNA_JJ	CN19Sc15_7_eDNA_JJ	CN19Sc15_5_eDNA_JJ	CN19Sc15_4_eDNA_JJ	CN19Sc15_3_eDNA_JJ	CN19Sc21_12_eDNA_JJ	CN19Sc21_10_eDNA_JJ	CN19Sc21_9_eDNA_JJ	CN19Sc21_6_eDNA_JJ	CN19Sc21_5_eDNA_JJ	CN19Sc21_3_eDNA_JJ	CN19Sc22_4_eDNA_JJ	CN19Sc22_2_eDNA_JJ	CN19Sc39_01_eDNA_BI	CN19Sc39_02_eDNA_BI	CN19Sc39_03_eDNA_BI	CN19Sc39_04_eDNA_BI	CN19Sc39_05_eDNA_BI	CN19Sc39_06_eDNA_BI	CN19Sc39_07_eDNA_BI	CN19Sc39_09_eDNA_BI	CN19Sc39_10_eDNA_BI	CN19Sc39_11_eDNA_BI	CN19Sc39_01_eDNA_BJ	CN19Sc39_02_eDNA_BJ	CN19Sc39_03_eDNA_BJ	CN19Sc39_04_eDNA_BJ	CN19Sc39_05_eDNA_BJ	CN19Sc39_06_eDNA_BJ	CN19Sc39_07_eDNA_BJ	CN19Sc39_09_eDNA_BJ	CN19Sc39_10_eDNA_BJ	CN19Sc39_11_eDNA_BJ
ASV_20	0	0	1	0	2	0	1	0	0	0	2	0	1	0	0	0	0	0	1	0	3	0	0	0	4	0	0	0	0	3831	0	2	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	65	0	0	0	0	0	1	0	4	0	1	0	0	0	4	0	0	0	0	2	0	0	0	0	3	2	0	0	3	0	4	4	0	0	1	5	9615	0	0	0	0	0	0	0	0	5	11463	0	0	0	0	0	0
ASV_21	6	8	0	0	0	0	7	0	0	0	0	1	8	0	0	0	0	0	0	0	10	0	0	0	0	0	2	0	0	0	0	0	0	10	0	0	0	0	0	0	1	239	0	0	0	0	0	1	0	13	0	0	0	117	0	0	0	2	2	1114	9	8	93	3	5259	8	10	3	1	4	2	3	4	1	9	14	3	4922	15	12110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_23	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1	0	0	0	4	1	7216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	5475	0	9	0	1	0	0	0	0	0	0	11	0	8	0	0	1	0	0	9	0	5	0	6	0	0	0	1	0	13
ASV_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_28	12	7	0	8	3	0	0	2	0	1	22	5	1	2	0	3	1	7	1	0	13	2	0	4	2	1321	361	8	0	0	3	1	1	6	2	0	5	144	11065	9074	1	7	3	0	8067	1202	5	9	7	5	3157	9	3594	3	2	10	0	3	4	3	1	2	2	14	5	0	3	4	4	1541	1	2	6	1	0	11	6	13479	0	1	2	0	2	0	4	0	0	0	0	5	1	1	5	4	0	0	0	0	1	2
ASV_30	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV_33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_41	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	3	8157	0	0	0	0	0	0	627	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_43	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	1	0	5717	3	0	0	0	0	0	0	2	0	0	1	2258	0	0	0	14	0	1	0	4	1	1	130	0	0	0	2	0	0	0	0	4	0	0	1	6	1	17	0	0	0	0	1	3	0	0	0	0	0	0	0	0	5	2	0	0	0	0
ASV_44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
