,CN19SESPMV1_SC58_eDNA_CE,CN19SESPKOA_SC58_eDNA_CE,CN19SESPKOA_SC57_eDNA_CE,CN19SESPKOA_SC56_eDNA_CE,CN19SESPKOA_SC55_eDNA_CE,CN19SESPMV1_SC55_eDNA_CE,CN19SESPMV1_SC54_eDNA_CE,CN19SESPKOA_SC54_eDNA_CE,CN19SESPKOA_SC53_eDNA_CE,CN19SESPMV1_SC53_eDNA_CE,CN19SESPMV1_SC52_eDNA_CE,CN19Sc03_12_eDNA_JJ,CN19Sc03_9_eDNA_JJ,CN19Sc03_1_eDNA_JJ,CN19Sc03_3_eDNA_JJ,CN19Sc03_7_eDNA_JJ,CN19Sc03_5_eDNA_JJ,CN19Sc03_4_eDNA_JJ,CN19Sc03_10_eDNA_JJ,CN19SESPMV1_SC51_eDNA_CE,CN19Sc10_9_eDNA_JJ,CN19Sc10_2_eDNA_JJ,CN19Sc10_10_eDNA_JJ,CN19Sc10_4_eDNA_JJ,CN19Sc10_7_eDNA_JJ,CN19Sc10_12_eDNA_JJ,CN19Sc10_1_eDNA_JJ,CN19Sc10_3_eDNA_JJ,CN19Sc10_5_eDNA_JJ,CN19Sc11_10_eDNA_JJ,CN19Sc11_7_eDNA_JJ,CN19Sc11_5_eDNA_JJ,CN19SESPMV1_SC50_eDNA_CE,CN19Sc12_5_eDNA_JJ,CN19Sc12_1_eDNA_JJ,CN19Sc12_2_eDNA_JJ,CN19Sc12_3_eDNA_JJ,CN19Sc12_12_eDNA_JJ,CN19Sc12_10_eDNA_JJ,CN19Sc12_9_eDNA_JJ,CN19Sc12_7_eDNA_JJ,CN19Sc12_4_eDNA_JJ,CN19SESPMV1_SC49_eDNA_CE,CN19SESPKOA_SC52_eDNA_CE,CN19SESPMV1_SC48_eDNA_CE,CN19SESPKOA_SC51_eDNA_CE,CN19SESPKOA_SC50_eDNA_CE,CN19Sc13_10_eDNA_JJ,CN19Sc13_7_eDNA_JJ,CN19Sc13_5_eDNA_JJ,CN19SESPKOA_SC49_eDNA_CE,CN19SESPKOA_SC48_eDNA_CE,CN19SESPMV1_SC45_eDNA_CE,CN19Sc15_12_eDNA_JJ,CN19Sc15_10_eDNA_JJ,CN19Sc15_9_eDNA_JJ,CN19Sc15_7_eDNA_JJ,CN19Sc15_5_eDNA_JJ,CN19Sc15_4_eDNA_JJ,CN19Sc15_2_eDNA_JJ,CN19Sc15_3_eDNA_JJ,CN19SESPKOA_SC47_eDNA_CE,CN19SESPMV1_SC44_eDNA_CE,CN19SESPMV1_SC43_eDNA_CE,CN19Sc16_9_eDNA_JJ,CN19Sc16_5_eDNA_JJ,CN19Sc16_10_eDNA_JJ,CN19SESPKOA_SC46_eDNA_CE,CN19SESPKOA_SC45_eDNA_CE,CN19Sc18_8_eDNA_JJ,CN19Sc18_7_eDNA_JJ,CN19Sc18_5_eDNA_JJ,CN19Sc18_3_eDNA_JJ,CN19Sc18_2_eDNA_JJ,CN19Sc18_10_eDNA_JJ,CN19Sc18_12_eDNA_JJ,CN19Sc18_9_eDNA_JJ,CN19Sc18_4_eDNA_JJ,CN19SESPKOA_SC44_eDNA_CE,CN19Sc20_10_eDNA_JJ,CN19Sc20_6_eDNA_JJ,CN19SESPMV1_SC37_eDNA_CE,CN19SESPMV1_SC36_eDNA_CE,CN19Sc21_4_eDNA_JJ,CN19Sc21_12_eDNA_JJ,CN19Sc21_5_eDNA_JJ,CN19SESPKOA_SC43_eDNA_CE,CN19Sc21_3_eDNA_JJ,CN19Sc21_9_eDNA_JJ,CN19Sc21_1_eDNA_JJ,CN19Sc21_2_eDNA_JJ,CN19Sc21_6_eDNA_JJ,CN19Sc21_10_eDNA_JJ,CN19SESPMV1_SC35_eDNA_CE,CN19SESPKOA_SC42_eDNA_CE,CN19SESPKOA_SC41_eDNA_CE,CN19Sc22_8_eDNA_JJ,CN19Sc22_4_eDNA_JJ,CN19Sc22_2_eDNA_JJ,CN19Sc23_6_eDNA_JJ,CN19Sc23_8_eDNA_JJ,CN19Sc23_10_eDNA_JJ,CN19Sc24_04_eDNA_BT,CN19Sc24_09_eDNA_BT,CN19SESPKOA_SC40_eDNA_CE,CN19SESPMV1_SC34_eDNA_CE,CN19SESPKOA_SC39_eDNA_CE,CN19SESPMV1_SC33_eDNA_CE,CN19Sc25_12_eDNA_JJ,CN19Sc25_10_eDNA_JJ,CN19Sc25_9_eDNA_JJ,CN19Sc25_1_eDNA_JJ,CN19Sc25_2_eDNA_JJ,CN19Sc25_4_eDNA_JJ,CN19Sc25_7_eDNA_JJ,CN19Sc25_5_eDNA_JJ,CN19SESPKOA_SC38_eDNA_CE,CN19SESPMV1_SC32_eDNA_CE,CN19Sc26_02_eDNA_BT,CN19Sc26_09_eDNA_BT,CN19Sc26_04_eDNA_BT,CN19Sc27_6_eDNA_JJ,CN19Sc27_10_eDNA_JJ,CN19Sc27_5_eDNA_JJ,CN19Sc28_5_eDNA_RR,CN19Sc28_12_eDNA_RR,CN19Sc28_1_eDNA_RR,CN19Sc28_2_eDNA_RR,CN19Sc28_3_eDNA_RR,CN19Sc28_4_eDNA_RR,CN19Sc28_6_eDNA_RR,CN19Sc28_7_eDNA_RR,CN19Sc28_8_eDNA_RR,CN19Sc28_9_eDNA_RR,CN19Sc28_10_eDNA_RR,CN19Sc28_11_eDNA_RR,CN19SESPMV1_SC31_eDNA_CE,CN19Sc29_11_eDNA_RR,CN19Sc29_12_eDNA_RR,CN19Sc29_8_eDNA_RR,CN19Sc29_4_eDNA_RR,CN19Sc29_6_eDNA_RR,CN19Sc29_5_eDNA_RR,CN19Sc29_10_eDNA_RR,CN19Sc29_3_eDNA_RR,CN19Sc29_2_eDNA_RR,CN19Sc29_1_eDNA_RR,CN19Sc29_7_eDNA_RR,CN19Sc29_9_eDNA_RR,CN19SESPKOA_SC37_eDNA_CE,CN19SESPKOA_SC36_eDNA_CE,CN19SESPMV1_SC29_eDNA_CE,CN19SESPKOA_SC35_eDNA_CE,CN19SESPMV1_SC28_eDNA_CE,CN19Sc30_1_eDNA_RR,CN19Sc30_3_eDNA_RR,CN19Sc30_4_eDNA_RR,CN19Sc30_5_eDNA_RR,CN19Sc30_7_eDNA_RR,CN19Sc30_2_eDNA_RR,CN19Sc30_10_eDNA_RR,CN19Sc30_9_eDNA_RR,CN19Sc30_11_eDNA_RR,CN19Sc30_12_eDNA_RR,CN19Sc30_8_eDNA_RR,CN19SESPKOA_SC34_eDNA_CE,CN19Sc31_11_eDNA_RR,CN19Sc31_10_eDNA_RR,CN19Sc31_8_eDNA_RR,CN19Sc31_7_eDNA_RR,CN19Sc31_6_eDNA_RR,CN19Sc31_3_eDNA_RR,CN19Sc31_4_eDNA_RR,CN19Sc31_12_eDNA_RR,CN19Sc31_5_eDNA_RR,CN19Sc31_9_eDNA_RR,CN19Sc32_05_eDNA_BT,CN19Sc32_02_eDNA_BT,CN19SESPMV1_SC27_eDNA_CE,CN19SESPMV1_SC26_eDNA_CE,CN19Sc34_12_eDNA_RR,CN19Sc34_11_eDNA_RR,CN19Sc34_9_eDNA_RR,CN19Sc34_8_eDNA_RR,CN19Sc34_7_eDNA_RR,CN19Sc34_6_eDNA_RR,CN19Sc34_4_eDNA_RR,CN19Sc34_2_eDNA_RR,CN19Sc34_1_eDNA_RR,CN19SESPMV1_SC25_eDNA_BT,CN19Sc35_09_eDNA_BT,CN19Sc36_1_eDNA_RR,CN19Sc36_4_eDNA_RR,CN19Sc36_2_eDNA_RR,CN19Sc36_7_eDNA_RR,CN19Sc36_8_eDNA_RR,CN19Sc36_12_eDNA_RR,CN19Sc36_11_eDNA_RR,CN19Sc36_9_eDNA_RR,CN19Sc36_6_eDNA_RR,CN19Sc37_12_eDNA_RR,CN19Sc37_1_eDNA_RR,CN19Sc37_2_eDNA_RR,CN19Sc37_4_eDNA_RR,CN19Sc37_5_eDNA_RR,CN19Sc37_6_eDNA_RR,CN19Sc37_7_eDNA_RR,CN19Sc37_8_eDNA_RR,CN19Sc37_9_eDNA_RR,CN19Sc37_3_eDNA_RR,CN19Sc37_11_eDNA_RR,CN19Sc37_10_eDNA_RR,CN19SESPMV1_SC24_eDNA_BT,CN19Sc38_7_eDNA_RR,CN19Sc38_12_eDNA_RR,CN19Sc38_11_eDNA_RR,CN19Sc38_10_eDNA_RR,CN19Sc38_9_eDNA_RR,CN19Sc38_1_eDNA_RR,CN19Sc38_8_eDNA_RR,CN19Sc38_5_eDNA_RR,CN19Sc38_4_eDNA_RR,CN19Sc38_3_eDNA_RR,CN19SESPMV1_SC23_eDNA_BT,CN19SESPMV1_SC22_eDNA_BT,CN19Sc39_11_eDNA_BT,CN19Sc39_10_eDNA_BT,CN19Sc39_09_eDNA_BT,CN19Sc39_03_eDNA_BT,CN19Sc39_04_eDNA_BT,CN19Sc39_05_eDNA_BT,CN19Sc39_06_eDNA_BT,CN19Sc39_07_eDNA_BT,CN19Sc39_02_eDNA_BT,CN19Sc39_01_eDNA_BT,CN19SESPMV1_SC21_eDNA_BT,CN19SESPMV1_SC20_eDNA_BT,CN19SESPKOA_SC11_eDNA_CE,CN19SESPKOA_SC09_eDNA_CE,CN19SESPKOA_SC08_eDNA_CE,CN19SESPKOA_SC07_eDNA_CE,CN19SESPKOA_SC06_eDNA_CE,CN19SESPKOA_SC05_eDNA_CE,CN19SESPKOA_SC04_eDNA_CE,CN19SESPKOA_SC03_eDNA_CE
ASV_1599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,5,0,0,17,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,24,0,0,2031,0,0,0,0,4,0,11,0,0,0,0,0,0,0,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,2,0,0,0,0,22,0,1,2074,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2125,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,2096,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1647,1,0,0,0,1,0,2,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,2,20,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,70,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,1,0,0,0,0
ASV_1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,25,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,357,2,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,9,0,9,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,7,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,25,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,14,0,0,12,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,109,0,0,0,0,0,22,0,6,0,18,0,0,0,0,0,0,0,17,0,0,82,6,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1899,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1759,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,46,0,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,9,0,1,19,0,0,21,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,1,0,0,0,0,56,0,0,0,0,0,843,0,11,0,14,0,0,0,0,0,0,0,30,0,0,117,11,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1853,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,2,0,0,0,0,0,0,1,0,0,0,0,9,0,3,1499,11,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,2,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
